site_eui,f_is_large_building,floors_cat,building_density,gas_ratio
0.5936783955721928,0,3,-0.20396539717103068,-0.09766969290733499
0.8701294266762204,1,3,-0.203079185632242,0.29509996469286087
0.8954531090941383,1,3,-0.18948804841688655,-0.23158181614002613
1.2077793848305904,0,3,-0.23000816142862276,-0.01679713210341526
1.292191874105394,1,3,-0.20274145252733383,0.30212105320864086
1.7416884428030894,0,1,-0.2379161849652828,0.09430977452412834
0.36365449102739955,0,3,-0.18632366430939182,0.20377540355077595
0.16317474859684522,1,2,-0.17090658287724805,-0.20151957532250475
0.6358846402095946,1,3,-0.2063066143168823,0.16455709787369815
0.5894578354729758,0,2,-0.19024916015084972,-0.05950155631127884
1.3934867641607953,1,3,-0.22564801500105472,0.0013013971640111503
0.5578031519949245,1,3,-0.20291867084012277,-0.16109626899403434
1.0115202818469933,0,3,-0.22327304974881948,0.23384902728772575
0.46283910156077057,1,3,-0.188447156639547,-0.09203337584365939
2.2355013763316434,0,3,-0.23364789967449556,-0.08529467721310763
-0.0584080357495139,1,3,-0.12350629482346044,-0.25651982241166776
0.4860525038235644,1,2,-0.21856461992071036,-0.17430926081716316
0.9017841101542717,1,3,-0.20260695356651973,0.07395436632831534
1.663606632765804,0,2,-0.24193509932308807,-0.01235643785068385
0.9228872324729726,1,3,-0.21986388101874926,-0.18430983826867148
0.6358846402095946,1,3,-0.20579362816580693,0.004798020524941566
1.4905610930618238,1,3,-0.23790954993937954,-0.010901554136586998
-0.5796551329638658,0,1,-0.0071050824150467986,0.095447618226885
0.20327071307912287,0,2,-0.10714637112352231,0.08647913042944938
0.7836064964405007,1,2,-0.2127027621988463,0.2743370229023116
-0.7189357482864781,0,1,0.11272051852451608,-0.25651982241166776
-0.1702545680002555,1,2,-0.06176094882265083,0.5461790157447807
0.6802013258079126,1,3,-0.17722407154351288,0.18664476062494248
-1.0402307835733506,1,1,8.43550302563355,-0.25651982241166776
0.8300334621939428,0,2,-0.17873869752239988,0.16931899800908035
-0.25888769777717213,1,1,-0.11107985699557572,0.38441553050903304
-1.0402307835733506,0,1,3.2643431783857073,-0.25651982241166776
0.1673953890989584,0,1,-0.13255344940939934,0.34932922157250124
0.5894578354729758,0,1,-0.20364557945147244,0.2359966242986091
-0.8750988454256781,1,1,2.5065810965635555,-0.15172222237901398
3.548115519135159,1,1,-0.22870166194581448,-0.038297868665872835
-0.15126172562564763,1,1,-0.1737594812087598,-0.25651982241166776
-0.49735296394011896,0,1,-0.033082920049387766,-0.020731709007237767
-0.39183735234661465,1,1,-0.08077286747440932,0.41796559292230595
0.24547687731362852,0,1,-0.17881914169233004,0.0189290310608444
-0.07318023762200859,0,1,-0.1588227011561293,0.1614128356091991
-0.2863217407531103,1,1,-0.10034697855923222,0.29824866265883887
-0.48469108252971194,0,1,-0.038106492632218436,0.017772911587957536
-0.15126172562564763,1,3,-0.13655926027967502,-0.03625890782095147
0.05765913700334088,1,2,-0.16026284118510098,-0.25651982241166776
-0.6725088631469632,0,1,0.07002566109453942,0.12733481090400195
0.6717600448036862,0,2,-0.2082312805910285,-0.25651982241166776
4.913487469845738,0,1,-0.27481437389018165,0.36552998838874046
0.021783812812145312,0,3,-0.1380201972087261,-0.1541163292950777
0.5767959943695323,1,3,-0.18948804841688655,-0.038297868665872835
0.8342540220821287,0,2,-0.19532803894535614,0.09732752288906293
-0.20190925147830682,1,2,-0.11885841953160557,0.42740191530329014
0.44806698030220304,1,2,-0.129562538890469,0.141646711907158
0.1505129072823707,1,2,-0.12155219793701784,0.18797001500821622
0.26024915958901934,1,2,-0.14139610406183561,0.1507433961257078
-0.2040195314223998,1,2,-0.11868064589561972,0.04311324187092278
0.08720354032626809,0,1,-0.16265529211805457,0.48935237938043086
0.3130069653857715,1,1,-0.11644992165727362,0.2343978112036062
0.1652851091548654,0,1,-0.17111386345379623,0.11569362557747163
1.9168441005902144,1,2,-0.2619426540278694,0.01818629940012319
2.5752617743917736,0,1,-0.25700683242251143,0.3313885864416749
0.1040860221428558,0,2,-0.1192157841480528,-0.03973088981134268
-1.0402307835733506,0,1,3.386759593338812,-0.25651982241166776
0.8384747431981692,1,1,-0.21627784298665717,0.11042185264882531
0.8680189857153041,0,2,-0.2175884252397246,0.3131334793909075
3.1851418806731826,0,2,-0.2508905670139253,-0.25651982241166776
-0.8223410396289259,0,1,0.14716524360276068,0.33282692697531513
