site_energy_use,electricity_ratio,gas_ratio,floors_cat,year_built_cat
0.32455171435654034,-0.30525077864695843,-0.09766969290733499,3,1
0.46616619621926136,-0.5325421641734132,0.29509996469286087,3,5
6.010967494401353,0.052854185783217496,-0.23158181614002613,3,2
0.2719108384415934,-0.5027354216282527,-0.01679713210341526,3,1
1.1714126445754067,-0.5436713143521208,0.30212105320864086,3,3
0.9170962746083513,-0.2142718588578556,0.09430977452412834,1,5
0.14563118296299277,-0.38778461434951306,0.20377540355077595,3,1
0.2113851419324685,-0.2605508781143797,-0.20151957532250475,2,1
1.1166982756608699,-0.3256202164988526,0.16455709787369815,3,1
0.001158066550344625,-0.29451139350796507,-0.05950155631127884,2,1
1.3962311001966266,-0.5329473660245673,0.0013013971640111503,3,2
2.7281025554521725,-0.12685885890043944,-0.16109626899403434,3,5
0.24770720428118775,-0.7934057013721963,0.23384902728772575,3,1
2.165367466880341,-0.19586403415249223,-0.09203337584365939,3,3
0.7541420964981083,-0.575462818478245,-0.08529467721310763,3,1
1.7098263887124772,0.28526514825900395,-0.25651982241166776,3,5
0.6573875427202692,-0.44597618998134847,-0.17430926081716316,2,1
3.5346582319928412,-0.18200689681838675,0.07395436632831534,3,4
0.37084604972566015,-0.378076233290552,-0.01235643785068385,2,1
0.6815528341760815,-0.2542457844696554,-0.18430983826867148,3,1
4.9278836227516445,-0.31179060587745394,0.004798020524941566,3,1
5.278435182675975,-0.5398504945682656,-0.010901554136586998,3,4
-0.36877265215707045,-0.21607590527133672,0.095447618226885,1,2
-0.10981541289573962,-0.2018597862287562,0.08647913042944938,2,5
0.8265209311313335,-0.49963118089382114,0.2743370229023116,2,1
-0.39672099394894933,0.34182356744960685,-0.25651982241166776,1,1
0.09311649051149286,-0.9305246518130814,0.5461790157447807,2,4
0.7921685499762862,-0.36063102208648906,0.18664476062494248,3,5
-0.5421716574079466,-0.05096059832321372,-0.25651982241166776,1,1
-0.013113770831075422,-0.33316830768822225,0.16931899800908035,2,3
0.27003198495832537,-0.674115277769535,0.38441553050903304,1,1
-0.5421716574079466,17.121552489322827,-0.25651982241166776,1,4
-0.05100465328379138,-0.6185005302060139,0.34932922157250124,1,1
0.256547483622259,-0.43885822116638656,0.2359966242986091,1,4
-0.5176464244772087,0.17571157247329564,-0.15172222237901398,1,1
6.010967494401353,0.052854185783217496,-0.038297868665872835,1,4
4.897001225883196,0.28500314416956657,-0.25651982241166776,1,2
-0.35526422472950503,-0.031921094124169505,-0.020731709007237767,1,4
0.22369820963710405,-0.7272952212845597,0.41796559292230595,1,1
0.19777073868306602,-0.09478679295840352,0.0189290310608444,1,2
-0.19664466194235017,-0.3206362981072115,0.1614128356091991,1,1
0.29631319631737946,-0.5375332323213633,0.29824866265883887,1,1
-0.29328805845178557,-0.09295412558552918,0.017772911587957536,1,1
1.4140979471223893,-0.007308975603353235,-0.03625890782095147,3,2
0.6061540086510236,0.3418240979345474,-0.25651982241166776,2,2
-0.4043864412392239,-0.26661947804605984,0.12733481090400195,1,1
0.06189644620148246,0.34182396636726536,-0.25651982241166776,2,1
1.275479255748125,-0.6441800142408523,0.36552998838874046,1,1
0.033779295928371346,0.17950545807476495,-0.1541163292950777,3,1
6.010967494401353,0.052854185783217496,-0.038297868665872835,3,4
0.09558621177794555,-0.2190555248749951,0.09732752288906293,2,4
0.10204394007127388,-0.7422526518956487,0.42740191530329014,2,1
0.08778776894594363,-0.28930524860036555,0.141646711907158,2,1
0.2622310428403325,-0.3627316681231847,0.18797001500821622,2,5
0.15401909153969656,-0.30372428937413,0.1507433961257078,2,5
0.2770698523925356,-0.13312101079565664,0.04311324187092278,2,5
-0.16208666879589856,-0.8404498445243334,0.48935237938043086,1,1
0.09424817939984764,-0.4363238533679811,0.2343978112036062,1,5
-0.14496677311136685,-0.24816716419050533,0.11569362557747163,1,2
4.660594617411115,-0.6897396727181454,0.01818629940012319,2,1
