building_type,site_eui,site_energy_use,compliance_status,ghg_emissions_total,property_type_education,property_type_office,property_type_other,property_type_storage,neighborhood_east,neighborhood_north,neighborhood_south,neighborhood_west,property_use_list_office,property_use_list_other,property_use_list_storage,building_density,electricity_ratio,gas_ratio,year_built_cat,floors_cat,f_is_large_building,f_has_natural_gas,f_has_electricity,district_1,district_2,district_3,district_4,district_5,district_6,district_7
0,0.4585489327195379,0.47850871312961957,0,1.4436587978986752,0,0,1,0,0,0,0,0,0,1,0,10403.998776000144,0.5460599298747404,0.17663838480284144,1,3,0,1,1,0,0,0,0,0,0,1
0,0.7736642667861721,0.7123032648978264,0,1.8787297383679886,0,0,1,0,0,0,0,0,0,1,0,12184.23386067837,0.3866090728192051,0.4515810838021177,5,3,1,1,1,0,0,0,0,0,0,1
0,0.8025297067631956,2.1269235222694327,0,2.163166374361386,0,0,1,0,0,0,0,0,0,1,0,25775.982261649147,0.7134425764328874,0.096897782572416,2,3,1,1,1,0,0,0,0,0,0,1
0,1.1585377792360567,0.39160270021809274,0,1.7893069186507777,0,0,1,0,0,0,0,0,0,1,0,7214.116798339201,0.4075192830053455,0.26656716584852486,1,3,0,1,1,0,0,0,0,0,0,1
0,1.2547561570478454,1.8766105808641393,0,2.163166374361386,0,0,1,0,0,0,0,0,0,1,0,20656.468158062573,0.3788016826263018,0.2672643178678454,3,3,1,1,1,0,0,0,0,0,0,1
0,1.7671190910594035,1.4567539324360312,0,1.9351524082849985,0,0,1,0,0,0,0,0,0,1,0,48643.97567801216,0.6098840237829505,0.3133906028783976,5,1,0,1,1,0,0,0,0,0,0,1
0,0.19635399991543984,0.1831247602381783,0,0.7434487228277488,0,0,1,0,0,0,0,0,0,1,0,9765.645909924011,0.48816028353145263,0.5118397164683737,1,3,0,1,1,0,0,0,0,0,0,1
0,-0.03216473903556329,0.2916794586139837,0,1.1736834344470328,0,0,1,0,0,0,0,0,0,1,0,12845.123394359576,0.5774180802670479,0.06115925016807585,1,2,1,1,1,0,0,0,0,0,0,1
0,0.5066581216254322,1.7862813914521782,0,2.163166374361386,0,0,1,0,0,0,0,0,0,1,0,19292.233024443176,0.53177023598382,0.276004193803163,1,3,1,1,1,0,0,0,0,0,0,1
0,1.3702180997708573,2.1269235222694327,0,2.163166374361386,0,0,1,0,0,0,0,0,0,1,0,18019.17435068537,0.4013705554192065,0.2457039158151137,2,3,1,1,1,0,0,0,0,0,0,1
0,0.4176561955160408,2.1269235222694327,0,2.163166374361386,0,0,1,0,0,0,0,0,0,1,0,25775.982261649147,0.7134425764328874,0.1854342556163915,5,3,1,1,1,0,0,0,0,0,0,1
0,0.9348299762544051,0.35164437303811447,0,2.163166374361386,0,0,1,0,0,0,0,0,0,1,0,7648.116747280384,0.20360647250267244,0.5452810258248135,1,3,0,1,1,0,0,0,0,0,0,1
0,0.30941052047777845,2.1269235222694327,0,2.163166374361386,0,0,1,0,0,0,0,0,0,1,0,25775.982261649147,0.7134425764328874,0.2457039158151137,3,3,1,1,1,0,0,0,0,0,0,1
0,2.181459260502084,1.187729193377407,0,2.163166374361386,0,0,1,0,0,0,0,0,0,1,0,10845.88107695517,0.3564991102333527,0.190399171721683,1,3,0,1,1,0,0,0,0,0,0,1
0,-0.28473798079150864,2.1269235222694327,0,0.7931386035613844,0,0,1,0,0,0,0,0,0,1,0,25775.982261649147,0.7134425764328874,0.0,5,3,1,0,1,0,0,0,0,0,0,1
0,0.3358705375724909,1.0279949117242713,0,2.163166374361386,0,0,1,0,0,0,0,0,0,1,0,17318.497113583813,0.4473373698675256,0.09141661299931306,1,2,1,1,1,0,0,0,0,0,0,1
0,0.8097461584655928,2.1269235222694327,0,2.163166374361386,0,0,1,0,0,0,0,0,0,1,0,25775.982261649147,0.7134425764328874,0.2457039158151137,4,3,1,1,1,0,0,0,0,0,0,1
0,1.6781167981174465,0.5549370786799904,0,1.662142548300004,0,0,0,0,0,0,0,0,0,1,0,11490.39770192046,0.4949709669935306,0.271505135132239,1,2,0,1,1,0,0,0,0,0,0,1
0,0.8338007529185401,1.067889938065832,0,2.163166374361386,0,0,1,0,0,0,0,0,0,1,0,12276.704438034772,0.5818412685156746,0.08029615717316904,1,3,1,1,1,0,0,0,0,0,0,1
0,0.5066581216254322,2.1269235222694327,0,2.163166374361386,0,0,1,0,0,0,0,0,0,1,0,25775.982261649147,0.7134425764328874,0.2457039158151137,1,3,1,1,1,0,0,0,0,0,0,1
0,1.4808691957670632,2.1269235222694327,0,2.163166374361386,0,0,1,0,0,0,0,0,0,1,0,25775.982261649147,0.7134425764328874,0.2457039158151137,4,3,1,1,1,0,0,1,0,0,0,0
1,-0.8788864363570661,-0.6661161682166156,1,-0.5614796145301895,1,0,0,0,0,0,1,0,0,0,0,28113.98594300703,0.6086184379966276,0.39138123721741397,2,1,0,1,1,0,1,0,0,0,0,0
0,0.01353902698802,-0.23859780368293446,0,-0.07330498472721965,0,0,1,0,1,0,0,0,0,1,0,14765.330872444854,0.6185914176594711,0.38140844586003453,5,2,0,1,1,0,0,0,1,0,0,0
0,0.6750402827960624,1.3072210488571578,0,2.163166374361386,1,0,0,0,0,0,0,0,0,1,0,18084.711702184042,0.4096969891444095,0.33391543762756354,1,2,1,1,1,0,0,0,0,0,0,1
0,-1.0376467688872635,-0.7122567179397089,0,-0.8402739835318855,0,0,1,0,0,0,0,0,0,1,0,33611.983194008404,0.9999995229861629,0.0,1,1,0,0,1,0,0,0,0,0,0,1
0,-0.4122273131106369,0.09642706646103039,0,1.5061504608823886,0,0,1,0,1,0,0,0,0,1,0,19834.49752068781,0.10741393922335259,0.7109225342508962,4,2,1,1,1,0,0,0,0,0,0,1
0,0.5571729167096475,1.250507925674598,0,2.163166374361386,0,0,1,0,0,0,0,0,0,1,0,20219.527032996823,0.5072092393396852,0.34242095808715756,5,3,1,1,1,0,0,0,0,0,0,1
1,-1.5067113607197336,-0.9759739735450838,1,-0.9268519627490788,1,0,0,0,0,0,0,0,0,0,0,126350.87364912636,0.0,0.0,1,1,1,0,0,0,0,1,0,0,0,0
0,0.7279605007625888,-0.07895087517406969,0,0.2911190833249972,0,0,1,0,0,0,0,0,0,1,0,13681.997263600548,0.5264750524179804,0.47352483539152584,3,2,0,1,1,0,0,0,0,0,0,1
1,-0.5132566280945069,0.3885008584983694,1,1.6352113915665072,1,0,0,0,0,1,0,0,0,0,0,80322.45983877007,0.28729182748392945,0.5587454214547174,1,1,1,1,1,0,0,0,0,1,0,0
1,-1.5067113607197336,-0.9759739735450838,1,-0.8279463413651439,1,0,0,0,0,0,0,1,0,0,0,25790.987104506446,1496816000000.0,0.0,4,1,0,0,1,0,0,0,0,0,0,1
0,-0.02735380186348203,-0.1415057901983821,0,0.5692496562100227,0,1,0,0,0,0,0,1,0,1,0,29087.323637558788,0.3263070288008836,0.6736928505983958,1,1,0,1,1,0,0,0,1,0,0,0
0,0.45373808719546155,0.3662389901907233,0,1.1119503955966572,0,0,1,0,1,0,0,0,0,1,0,20467.744883063777,0.4523308113277306,0.5476691136935089,4,1,0,1,1,0,0,0,1,0,0,0
0,-1.2156507586983267,-0.9118952468236263,0,-0.889584552198852,0,0,1,0,1,0,0,0,0,0,1,55177.97241101379,0.8834676099737515,0.11653297897010358,1,1,1,1,1,0,0,0,1,0,0,0
1,2.181459260502084,2.1269235222694327,0,2.163166374361386,0,0,0,0,0,0,1,0,0,1,0,73031.93398935534,0.7134425764328874,0.2457039158151137,4,1,1,1,1,0,1,0,0,0,0,0
0,-0.39057814129945495,2.1269235222694327,0,2.0302649090022435,0,0,0,1,0,0,1,0,0,1,0,109547.88272605863,0.7134425764328874,0.0,2,1,1,0,1,0,1,0,0,0,0,0
1,-0.7850735271313182,-0.643814799783248,0,-0.6284281942972634,1,0,0,0,0,0,0,1,0,0,0,27492.98625350687,0.7378078588816179,0.2621919896282631,4,1,0,1,1,0,0,0,0,0,0,1
1,-0.6648005548665823,0.3120073806388473,1,1.5960474206829356,1,0,0,0,1,0,0,0,0,0,0,87782.45610877193,0.2499847049460649,0.591929427097586,1,1,1,1,1,0,0,0,1,0,0,0
0,0.06164812424590943,0.2692031322989166,0,0.31122262285845287,0,1,0,0,0,1,0,0,0,1,0,47449.97627501186,0.6937059254307663,0.30629399374742633,2,1,0,1,1,0,0,0,0,0,1,0
0,-0.3015762154306093,-0.38194617522096,0,-0.13162421497757448,0,1,0,0,0,0,1,0,0,1,0,26276.986861506568,0.535266585206071,0.46473333008605366,1,1,0,1,1,0,1,0,0,0,0,0
0,-0.5445275826018464,0.431889104875402,0,1.4234604303485525,1,0,0,0,0,1,0,0,0,0,0,58338.3138872287,0.38310770785558335,0.5415257185022745,1,1,1,1,1,0,0,0,0,0,1,0
0,-0.7706407613188039,-0.5414969448250426,0,-0.4960482830297914,0,0,1,0,0,0,0,0,0,1,0,23528.65882378039,0.6949915895687981,0.30500841043073873,1,1,0,1,1,0,0,0,0,0,0,1
0,-0.39057814129945495,2.1269235222694327,0,1.8737038534846244,0,0,1,0,0,0,0,0,0,1,0,25775.982261649147,0.7134425764328874,0.2457039158151137,2,3,1,1,1,0,0,0,0,0,0,1
0,-0.15243771130029918,0.9434123113032788,0,-0.2964353079452437,0,1,0,0,0,0,0,0,0,1,0,33622.99327540134,0.9999998951358937,0.0,2,2,1,0,1,0,0,0,0,0,0,1
0,-0.9847266428092879,-0.7249117782821238,0,-0.6114539793138267,0,0,1,0,0,0,0,0,0,1,0,28713.985643007178,0.5731607985487989,0.42683920145039944,1,1,0,1,1,0,0,0,0,0,0,1
0,0.547551042365485,0.044885189036954126,0,-0.5915400958137057,0,1,0,0,0,0,0,0,0,1,0,7424.999071875117,0.9999998028379088,0.0,1,2,0,0,1,0,0,0,0,0,0,1
0,2.181459260502084,2.0484165034868504,0,2.163166374361386,0,0,0,0,0,0,0,0,0,1,0,26274.486862756567,0.3082921985045112,0.25208188918870406,1,1,0,1,1,0,0,0,0,0,0,1
0,-0.193330540392347,-0.001534050426660311,0,-0.3655649320956643,0,0,1,0,0,0,0,0,0,1,0,11603.99863482369,0.8861291200433585,0.11387077667940301,1,3,0,1,1,0,0,0,0,0,0,1
0,0.4393053673272227,2.1269235222694327,0,2.163166374361386,0,0,1,0,0,0,0,0,0,1,0,25775.982261649147,0.7134425764328874,0.2457039158151137,4,3,1,1,1,0,0,0,0,0,0,1
0,0.7327713460461194,0.10050438517086716,0,0.3474469252253398,0,0,1,0,0,0,0,0,0,1,0,10164.284262245104,0.6065281568434796,0.3934716561813475,4,2,0,1,1,0,0,0,0,0,0,1
0,-0.44830920479005765,0.11116559489970777,0,1.2274509198973598,0,0,1,0,0,0,0,0,0,1,0,17544.283207959543,0.23949167581183534,0.7012844415046808,1,2,1,1,1,0,0,0,0,0,0,1
0,0.29257237772722855,0.08762975947993472,0,0.44616289057594033,0,0,1,0,0,0,0,1,0,1,0,22634.595473080906,0.5572461366297332,0.4427537687509446,1,2,1,1,1,0,0,0,0,0,0,1
